========== Results of classification (test set) ==========
No.  sepal_length  sepal_width  petal_length  petal_width  label  classified_class
50  5.7  2.8  4.1  1.3  Iris-versicolor  Iris-versicolor
51  7.2  3.2  6.0  1.8  Iris-virginica  Iris-virginica
52  6.2  2.8  4.8  1.8  Iris-virginica  Iris-virginica
53  6.1  3.0  4.9  1.8  Iris-virginica  Iris-virginica
54  6.4  2.8  5.6  2.1  Iris-virginica  Iris-virginica
55  7.2  3.0  5.8  1.6  Iris-virginica  Iris-virginica
56  7.4  2.8  6.1  1.9  Iris-virginica  Iris-virginica
57  7.9  3.8  6.4  2.0  Iris-virginica  Iris-virginica
58  6.4  2.8  5.6  2.2  Iris-virginica  Iris-virginica
59  6.3  2.8  5.1  1.5  Iris-virginica  Iris-versicolor    # classification mismatched
60  6.1  2.6  5.6  1.4  Iris-virginica  Iris-versicolor    # classification mismatched
61  7.7  3.0  6.1  2.3  Iris-virginica  Iris-virginica
62  6.3  3.4  5.6  2.4  Iris-virginica  Iris-virginica
63  6.4  3.1  5.5  1.8  Iris-virginica  Iris-virginica
64  6.0  3.0  4.8  1.8  Iris-virginica  Iris-virginica
65  6.9  3.1  5.4  2.1  Iris-virginica  Iris-virginica
66  6.7  3.1  5.6  2.4  Iris-virginica  Iris-virginica
67  6.9  3.1  5.1  2.3  Iris-virginica  Iris-virginica
68  5.8  2.7  5.1  1.9  Iris-virginica  Iris-virginica
69  6.8  3.2  5.9  2.3  Iris-virginica  Iris-virginica
70  6.7  3.3  5.7  2.5  Iris-virginica  Iris-virginica
71  6.7  3.0  5.2  2.3  Iris-virginica  Iris-virginica
72  6.3  2.5  5.0  1.9  Iris-virginica  Iris-virginica
73  6.5  3.0  5.2  2.0  Iris-virginica  Iris-virginica
74  6.2  3.4  5.4  2.3  Iris-virginica  Iris-virginica
75  5.9  3.0  5.1  1.8  Iris-virginica  Iris-virginica

========== Results of clustering (training set) ==========
No.  sepal_length  sepal_width  petal_length  petal_width  label  clustered_class
01  5.1  3.5  1.4  0.2  Iris-setosa  class_1
02  4.9  3.0  1.4  0.2  Iris-setosa  class_3
03  4.7  3.2  1.3  0.2  Iris-setosa  class_3
04  4.6  3.1  1.5  0.2  Iris-setosa  class_3
05  5.0  3.6  1.4  0.2  Iris-setosa  class_1
06  5.4  3.9  1.7  0.4  Iris-setosa  class_1
07  4.6  3.4  1.4  0.3  Iris-setosa  class_1
08  5.0  3.4  1.5  0.2  Iris-setosa  class_1
09  4.4  2.9  1.4  0.2  Iris-setosa  class_3
10  4.9  3.1  1.5  0.1  Iris-setosa  class_3
11  5.4  3.7  1.5  0.2  Iris-setosa  class_1
12  4.8  3.4  1.6  0.2  Iris-setosa  class_1
13  4.8  3.0  1.4  0.1  Iris-setosa  class_3
14  4.3  3.0  1.1  0.1  Iris-setosa  class_3
15  5.8  4.0  1.2  0.2  Iris-setosa  class_1
16  5.7  4.4  1.5  0.4  Iris-setosa  class_1
17  5.4  3.9  1.3  0.4  Iris-setosa  class_1
18  5.1  3.5  1.4  0.3  Iris-setosa  class_1
19  5.7  3.8  1.7  0.3  Iris-setosa  class_1
20  5.1  3.8  1.5  0.3  Iris-setosa  class_1
21  5.4  3.4  1.7  0.2  Iris-setosa  class_1
22  5.1  3.7  1.5  0.4  Iris-setosa  class_1
23  4.6  3.6  1.0  0.2  Iris-setosa  class_1
24  5.1  3.3  1.7  0.5  Iris-setosa  class_1
25  4.8  3.4  1.9  0.2  Iris-setosa  class_1
26  7.0  3.2  4.7  1.4  Iris-versicolor  class_2
27  6.4  3.2  4.5  1.5  Iris-versicolor  class_2
28  6.9  3.1  4.9  1.5  Iris-versicolor  class_2
29  5.5  2.3  4.0  1.3  Iris-versicolor  class_2
30  6.5  2.8  4.6  1.5  Iris-versicolor  class_2
31  5.7  2.8  4.5  1.3  Iris-versicolor  class_2
32  6.3  3.3  4.7  1.6  Iris-versicolor  class_2
33  4.9  2.4  3.3  1.0  Iris-versicolor  class_3
34  6.6  2.9  4.6  1.3  Iris-versicolor  class_2
35  5.2  2.7  3.9  1.4  Iris-versicolor  class_2
36  5.0  2.0  3.5  1.0  Iris-versicolor  class_3
37  5.9  3.0  4.2  1.5  Iris-versicolor  class_2
38  6.0  2.2  4.0  1.0  Iris-versicolor  class_2
39  6.1  2.9  4.7  1.4  Iris-versicolor  class_2
40  5.6  2.9  3.6  1.3  Iris-versicolor  class_2
41  6.7  3.1  4.4  1.4  Iris-versicolor  class_2
42  5.6  3.0  4.5  1.5  Iris-versicolor  class_2
43  5.8  2.7  4.1  1.0  Iris-versicolor  class_2
44  6.2  2.2  4.5  1.5  Iris-versicolor  class_2
45  5.6  2.5  3.9  1.1  Iris-versicolor  class_2
46  5.9  3.2  4.8  1.8  Iris-versicolor  class_2
47  6.1  2.8  4.0  1.3  Iris-versicolor  class_2
48  6.3  2.5  4.9  1.5  Iris-versicolor  class_2
49  6.1  2.8  4.7  1.2  Iris-versicolor  class_2
50  6.4  2.9  4.3  1.3  Iris-versicolor  class_2
51  6.3  3.3  6.0  2.5  Iris-virginica  class_2
52  5.8  2.7  5.1  1.9  Iris-virginica  class_2
53  7.1  3.0  5.9  2.1  Iris-virginica  class_2
54  6.3  2.9  5.6  1.8  Iris-virginica  class_2
55  6.5  3.0  5.8  2.2  Iris-virginica  class_2
56  7.6  3.0  6.6  2.1  Iris-virginica  class_2
57  4.9  2.5  4.5  1.7  Iris-virginica  class_2
58  7.3  2.9  6.3  1.8  Iris-virginica  class_2
59  6.7  2.5  5.8  1.8  Iris-virginica  class_2
60  7.2  3.6  6.1  2.5  Iris-virginica  class_2
61  6.5  3.2  5.1  2.0  Iris-virginica  class_2
62  6.4  2.7  5.3  1.9  Iris-virginica  class_2
63  6.8  3.0  5.5  2.1  Iris-virginica  class_2
64  5.7  2.5  5.0  2.0  Iris-virginica  class_2
65  5.8  2.8  5.1  2.4  Iris-virginica  class_2
66  6.4  3.2  5.3  2.3  Iris-virginica  class_2
67  6.5  3.0  5.5  1.8  Iris-virginica  class_2
68  7.7  3.8  6.7  2.2  Iris-virginica  class_2
69  7.7  2.6  6.9  2.3  Iris-virginica  class_2
70  6.0  2.2  5.0  1.5  Iris-virginica  class_2
71  6.9  3.2  5.7  2.3  Iris-virginica  class_2
72  5.6  2.8  4.9  2.0  Iris-virginica  class_2
73  7.7  2.8  6.7  2.0  Iris-virginica  class_2
74  6.3  2.7  4.9  1.8  Iris-virginica  class_2
75  6.7  3.3  5.7  2.1  Iris-virginica  class_2

======================= Summary =======================
K Value: 3
Training data size: 75
Test data size: 75
Number of mismatched classification: 3
Classification accuracy: 96.0%
Iterations of k-means clustering: 3
